Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
E;5;4;26;2;1;1;0,283941765;0,241087301;0,331090498;0,023001512
E;6;4;26;2;1;1;0,375909961;0,324700874;0,430052088;0,026967984
E;1;2;27;2;1;1;0,098296413;0,074658252;0,128380488;0,013609141
E;2;2;27;2;1;1;0,016385526;0,009219625;0,028958295;0,00478843
E;3;3;27;2;1;1;0,435239602;0,356221546;0,517690622;0,041548367
E;4;3;27;2;1;1;0,109140247;0,079999233;0,147197959;0,0170053
E;5;4;27;2;1;1;0,170581543;0,139751713;0,206579333;0,017024384
E;6;4;27;2;1;1;0,238038422;0,198456277;0,282730529;0,021515899
E;1;2;28;2;1;1;0,089877798;0,067268474;0,11911579;0,013117086
E;2;2;28;2;1;1;0,014866523;0,008280064;0,026551971;0,00442298
E;3;3;28;2;1;1;0,372172794;0,298560463;0,45223331;0,039490423
E;4;3;28;2;1;1;0,086120194;0,062706776;0,117182741;0,013755908
E;5;4;28;2;1;1;0,229105446;0,19353512;0,269032439;0,019268471
E;6;4;28;2;1;1;0,311027096;0,267363097;0,358334268;0,023257015
E;1;2;29;2;1;1;0,071560365;0,046592599;0,108386673;0,015445029
E;2;2;29;2;1;1;0,01164113;0,005993003;0,022491907;0,003930989
E;3;3;29;2;1;1;0,376532964;0,275764031;0,489249439;0,055249251
E;4;3;29;2;1;1;0,087596706;0,056405208;0,133594718;0,019320151
E;5;4;29;2;1;1;0,176579351;0,072688673;0,369749904;0,074658494
E;6;4;29;2;1;1;0,245705447;0,105508227;0,473566611;0,096053961
E;1;2;30;2;1;1;0,07044353;0,036108858;0,132923646;0,023537966
E;2;2;30;2;1;1;0,011447918;0,004812016;0,026986759;0,005042829
E;3;3;30;2;1;1;0,535399952;0,319044192;0,739205269;0,114221112
E;4;3;30;2;1;1;0,154829838;0,069547917;0,309861266;0,059850196
E;5;4;30;2;1;1;0,102840522;0,043716222;0,223259266;0,043273923
E;6;4;30;2;1;1;0,148298769;0,064473051;0,305519376;0,059728405
