Index;Value;Cl-;Cl+;SE ;beta;t
257;-1,607435244;-1,959254161;-1,255616328;0,179499447;col_obs;
258;-1,286356586;-1,598119252;-0,97459392;0,159062585;col_obs;
259;-1,524547097;-1,899279704;-1,14981449;0,191190106;col_obs;
260;-1,067991736;-1,507429848;-0,628553625;0,224203118;col_obs;
261;-1,252648176;-1,56752674;-0,937769612;0,160652328;col_obs;
262;-1,391607934;-1,740886646;-1,042329222;0,178203425;col_obs;
263;-0,699006352;-1,017456389;-0,380556315;0,162474509;col_obs;
264;-1,309375363;-1,725327816;-0,89342291;0,212220639;col_obs;
265;-1,74297061;-2,095805855;-1,390135364;0,180017982;het_obs_spring;
266;-10,62040612;-10,76340635;-10,47740589;0,072959302;col_obs;
267;-2,592198535;-3,458898571;-1,725498499;0,442193896;col_obs;
268;-1,038787533;-1,478260927;-0,599314139;0,224221119;col_obs;
269;-0,643711109;-0,984142047;-0,303280171;0,173689254;col_obs;
270;-0,628607377;-0,933593815;-0,323620939;0,155605326;col_obs;
271;0,036511593;-0,256791549;0,329814735;0,14964446;col_obs;
272;0,055509311;-0,213677091;0,324695713;0,137340001;col_obs;
273;-0,121585016;-0,380560337;0,137390304;0,132130266;col_obs;
274;0,118037067;-0,144294914;0,380369048;0,133842847;col_obs;
275;0,413000104;0,155188099;0,670812109;0,131536737;col_obs;
276;-1,337870766;-1,606814118;-1,068927413;0,137215996;col_obs;
277;-0,616094782;-0,879994009;-0,352195555;0,134642463;col_obs;
278;0,034758976;-0,244171113;0,313689065;0,14231127;col_obs;
279;0,262692005;-0,015602856;0,540986865;0,141987174;col_obs;
280;0,152847391;-0,106825793;0,412520575;0,132486318;col_obs;
281;-0,126032651;-0,370310485;0,118245183;0,124631548;col_obs;
282;-1,045085458;-1,304567934;-0,785602981;0,132389019;col_obs;
283;-2,085206414;-2,422719583;-1,747693246;0,172200596;col_obs;
284;-1,465168385;-1,790488327;-1,139848442;0,165979563;col_obs;
285;-1,528255488;-1,861719217;-1,194791759;0,170134556;col_obs;
286;-1,10948845;-1,456217654;-0,762759247;0,176902655;col_obs;
287;-1,966469479;-2,331455689;-1,601483269;0,186217454;col_obs;
288;-2,045581999;-2,442833141;-1,648330856;0,202679154;col_obs;
289;-1,777678301;-2,146087817;-1,409268785;0,187964039;col_obs;
290;-1,724670076;-2,124539728;-1,324800424;0,204015129;col_obs;
291;-1,512537155;-1,89820415;-1,12687016;0,196768875;col_obs;
292;-1,364723791;-1,721081086;-1,008366496;0,181814947;col_obs;
293;-1,029735165;-1,388095423;-0,671374908;0,182836866;col_obs;
294;-1,102062059;-1,450850038;-0,75327408;0,17795305;col_obs;
295;0,454875171;-0,144995953;1,054746295;0,306056696;band_recov_p1;
296;1,488704548;0,242863798;2,734545299;0,635633036;band_recov_p2;
297;3,020413175;0,716287767;5,324538582;1,175574188;band_recov_p3;
