Parameters;From;To;Time;Age;Group;Step;Estimates;CI-;CI+;SE 
E;7;3;62;2;2;1;0,203240055;0,169628515;0,241574091;0,018349442
E;3;3;63;2;2;1;0,266900857;0,22381033;0,314921634;0,023279545
E;5;3;63;2;2;1;0,063954723;0,044752384;0,090614813;0,011525062
E;3;3;64;2;2;1;0,464980047;0,411697338;0,519074236;0,027497548
E;4;3;64;2;2;1;0,131690421;0,091782181;0,185408871;0,023684728
E;1;2;65;2;2;1;0,132270556;0,101033932;0,171324096;0,017846256
E;2;2;65;2;2;1;0,019795544;0,010481609;0,03707572;0,006388284
E;3;3;65;2;2;1;0,459088105;0,392476751;0,52719429;0,034575482
E;11;3;65;2;2;1;0,097376409;0,072262264;0,129995756;0,014606829
E;3;3;66;2;2;1;0,649969806;0,594235013;0,7018896;0,027557121
E;7;3;66;2;2;1;0,199310139;0,163807194;0,24029661;0,019505069
E;3;3;67;2;2;1;0,296262289;0,244988668;0,353246233;0,027695284
E;5;3;67;2;2;1;0,073220154;0,050235128;0,10555316;0,013892204
E;3;3;68;2;2;1;0,256682896;0,20896411;0,311014272;0,02607876
E;4;3;68;2;2;1;0,056836219;0,037050356;0,086241943;0,012270737
E;1;2;69;2;2;1;0,093777796;0,069763217;0,124948556;0,013960531
E;2;2;69;2;2;1;0,013524572;0,007076721;0,025695254;0,004453203
E;3;3;69;2;2;1;0,515004949;0,438665382;0,590650691;0,039074233
E;11;3;69;2;2;1;0,11892292;0,087193083;0,160173227;0,018482479
E;3;3;70;2;2;1;0,636748347;0,579831802;0,690075943;0,02822752
E;7;3;70;2;2;1;0,19027267;0,155867697;0,230200905;0,018949091
E;3;3;71;2;2;1;0,387553058;0,335116818;0,442730699;0,027552953
E;5;3;71;2;2;1;0,106149094;0,076839532;0,144883858;0,017204018
E;3;3;72;2;2;1;0,109677193;0,083223076;0,143226561;0,015210031
E;4;3;72;2;2;1;0,0210449;0,013481437;0,032710976;0,004762017
E;1;2;73;2;2;1;0,060761395;0,042949359;0,085302063;0,010648683
E;2;2;73;2;2;1;0,008498012;0,004355167;0,016516357;0,002891591
E;3;3;73;2;2;1;0,588344429;0,518373429;0,654917159;0,035044012
E;11;3;73;2;2;1;0,153737649;0,115968241;0,201011075;0,02161258
E;3;3;74;2;2;1;0,632871142;0,571719343;0,690025471;0,030309729
E;7;3;74;2;2;1;0,187709247;0,151683538;0,229971721;0,019953406
E;3;3;75;2;2;1;0,419490993;0,367415815;0,473423214;0,027141833
E;5;3;75;2;2;1;0,119418532;0,086118232;0,163294611;0,019531014
E;3;3;76;2;2;1;0,186788465;0,150024196;0,230122844;0,020413055
E;4;3;76;2;2;1;0,038538404;0,025444171;0,057970429;0,008104361
E;1;2;77;2;2;1;0,126512892;0,097753065;0,162212863;0,016367188
E;2;2;77;2;2;1;0,018827624;0,010044773;0,035018288;0,006005509
E;3;3;77;2;2;1;0,598939651;0,526556623;0,667249552;0,036120174
E;11;3;77;2;2;1;0,159539495;0,121560875;0,206593031;0,021623044
E;3;3;78;2;2;1;0,779045862;0,738763531;0,814674912;0,019370531
E;7;3;78;2;2;1;0,320951329;0,274677893;0,371032505;0,024642232
E;3;3;79;2;2;1;0,413308327;0,358010275;0,470882857;0,028913197
E;5;3;79;2;2;1;0,116768877;0,083472696;0,161013229;0,019610277
E;3;3;80;2;2;1;0,172471892;0,135018955;0,217699175;0,021050795
E;4;3;80;2;2;1;0,035094231;0,022703107;0,053875483;0,007745126
E;1;2;81;2;2;1;0,065880618;0,047816779;0,090122588;0,010663467
E;2;2;81;2;2;1;0,009257379;0,004771623;0,017884372;0,003122358
E;3;3;81;2;2;1;0,193187708;0,140611864;0,259486309;0,03028167
E;11;3;81;2;2;1;0,029536812;0,019520866;0,044458805;0,006207029
E;3;3;82;2;2;1;0,683152692;0,624329211;0,736650636;0,028750294
E;7;3;82;2;2;1;0,224223757;0,181602259;0,273505382;0,023457161
