Index;Value;Cl-;Cl+;SE ;beta
186;0,618756298;0,400666183;0,836846413;0,111270467;col_obs
187;0,560785622;0,348277855;0,77329339;0,10842233;col_obs
188;0,54322096;0,314778303;0,771663617;0,116552376;col_obs
189;1,260216858;1,051577637;1,46885608;0,106448583;col_obs
190;0,768215681;0,535411298;1,001020063;0,118777746;col_obs
191;0,98540931;0,757739035;1,213079585;0,116158303;col_obs
192;0,571581885;0,342481722;0,800682049;0,116887839;col_obs
193;1,027509499;0,801411577;1,253607422;0,115356083;col_obs
194;0,631209557;0,348951088;0,913468026;0,144009423;col_obs
195;1,233923131;0,961062601;1,506783662;0,139214556;col_obs
196;1,193684679;0,965556914;1,421812444;0,116391717;col_obs
197;1,045034458;0,743226697;1,346842219;0,153983552;col_obs
198;0,648225899;0,361963295;0,934488503;0,146052349;col_obs
199;0,419374227;0,110796238;0,727952217;0,15743775;col_obs
200;-1,673201653;-1,944277614;-1,402125692;0,138304062;het_obs_winter
201;-0,32247732;-1,175145437;0,530190797;0,435034754;col_obs
202;-3,086794621;-4,137063759;-2,036525483;0,535851601;col_obs
203;-2,654661158;-3,335940815;-1,973381501;0,347591662;col_obs
204;-3,089187962;-3,713887655;-2,46448827;0,318724333;col_obs
205;-2,719116383;-3,186600709;-2,251632057;0,238512411;col_obs
206;-1,553988438;-1,853163777;-1,254813099;0,152640479;col_obs
207;-1,819696429;-2,104390783;-1,535002074;0,145252222;col_obs
208;-1,676418058;-1,942175032;-1,410661083;0,135590293;col_obs
209;-0,567993807;-0,802244838;-0,333742777;0,119515832;col_obs
210;-2,846377436;-3,217275465;-2,475479407;0,189233688;col_obs
211;-1,688465545;-1,948033585;-1,428897504;0,132432674;col_obs
212;-1,358944535;-1,614090151;-1,103798919;0,130176335;col_obs
213;-1,498413208;-1,782610506;-1,214215911;0,144998621;col_obs
214;-1,399110418;-1,686118274;-1,112102562;0,14643258;col_obs
215;-1,025429312;-1,300407376;-0,750451248;0,140294931;col_obs
216;-1,007078276;-1,276593712;-0,73756284;0,137507876;col_obs
217;-0,861811321;-1,116616648;-0,607005994;0,130002718;col_obs
218;-0,454314911;-0,693502637;-0,215127185;0,122034554;col_obs
219;-0,322624758;-0,572211679;-0,073037838;0,127340266;col_obs
220;-0,348966156;-0,603023393;-0,094908919;0,129621039;col_obs
221;-0,897372555;-1,17934751;-0,6153976;0,143864773;col_obs
222;-0,797720392;-1,067282633;-0,528158152;0,137531755;col_obs
223;-1,564173422;-1,871301353;-1,257045491;0,156697924;col_obs
224;-1,238090673;-1,523083606;-0,95309774;0,145404558;col_obs
225;-1,532558098;-1,896205656;-1,168910539;0,185534468;col_obs
226;-1,121816397;-1,450265617;-0,793367176;0,167576133;col_obs
227;-1,253730247;-1,560436135;-0,947024359;0,156482596;col_obs
228;-1,39448167;-1,719671752;-1,069291589;0,165913307;col_obs
229;-0,764885269;-1,070779525;-0,458991013;0,156068498;col_obs
230;-1,426126465;-1,739725374;-1,112527556;0,159999443;col_obs
231;-1,74488606;-2,015386936;-1,474385184;0,138010651;het_obs_spring
232;-10,39380622;-10,48763193;-10,29998051;0,047870259;col_obs
233;-2,601705541;-3,430214213;-1,773196869;0,422708506;col_obs
234;-1,112046968;-1,507739279;-0,716354657;0,201883832;col_obs
235;-0,670331181;-0,959553509;-0,381108853;0,147562412;col_obs
236;-0,58935031;-0,844757225;-0,333943396;0,13030965;col_obs
237;0,044055108;-0,187715733;0,27582595;0,118250429;col_obs
238;0,050095296;-0,163132576;0,263323168;0,108789731;col_obs
239;-0,111444407;-0,313788735;0,090899922;0,103236902;col_obs
240;0,134032028;-0,066141049;0,334205106;0,102129121;col_obs
241;0,441138922;0,229806137;0,652471707;0,107822849;col_obs
242;-1,3354746;-1,550835964;-1,120113235;0,109878247;col_obs
243;-0,587820643;-0,790969743;-0,384671543;0,1036475;col_obs
244;-0,004835316;-0,214736121;0,205065488;0,107092247;col_obs
245;0,222489712;-0,001531091;0,446510514;0,114296328;col_obs
246;0,128784339;-0,106097442;0,363666121;0,119837644;col_obs
247;-0,142793547;-0,366897896;0,081310803;0,114338954;col_obs
248;-1,065530419;-1,311119571;-0,819941267;0,125300588;col_obs
249;-2,096581866;-2,398686846;-1,794476886;0,154135194;col_obs
250;-1,47062597;-1,738447388;-1,202804552;0,136643581;col_obs
251;-1,568149453;-1,844129469;-1,292169437;0,140806131;col_obs
252;-1,135275209;-1,414162387;-0,856388032;0,142289376;col_obs
253;-1,943601024;-2,252504632;-1,634697416;0,157603882;col_obs
254;-2,008314078;-2,349255943;-1,667372213;0,173949931;col_obs
255;-1,765392601;-2,067809852;-1,46297535;0,154294516;col_obs
256;-1,77489569;-2,185341853;-1,364449526;0,209411308;col_obs
257;-1,510518324;-1,848502664;-1,172533985;0,17244099;col_obs
258;-1,360677627;-1,665784741;-1,055570514;0,155666894;col_obs
259;-1,01480355;-1,287233214;-0,742373886;0,138994726;col_obs
260;-1,113384744;-1,457404693;-0,769364795;0,175520382;col_obs
261;0,379826934;-0,223139379;0,982793248;0,307635874;band_recov_p1
262;1,653512371;0,59215737;2,714867372;0,541507654;band_recov_p2
263;2,041299011;1,068454159;3,014143863;0,496349414;band_recov_p3
